date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:51	64/64	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Dec%202025%2010:34:50%20GMT	https://ocw.mit.edu/robots.txt		(from )
18:34:52	12047/12047	---M-Z	200	added ('OK')	text/html	etag:%228d41feea44779c0cbc13bc45e4799394%22	https://ocw.mit.edu/ans7870/6/6.005/s16/	ocw.mit.edu/ans7870/6/6.005/s16/index.html	(from )
18:34:52	9575/9575	---M-Z	200	added ('OK')	text/css	etag:%22ec1db9a8654b6990249add09334f079a%22	https://ocw.mit.edu/ans7870/6/6.005/s16/web/handout-style.css	ocw.mit.edu/ans7870/6/6.005/s16/web/handout-style.css	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:53	6518/6518	---M-Z	200	added ('OK')	image/x-icon	etag:%223046037cd9f72499b31c5e10da7655d5%22	https://ocw.mit.edu/ans7870/6/6.005/s16/general/icons/github.ico	ocw.mit.edu/ans7870/6/6.005/s16/general/icons/github.ico	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:54	43876/43876	---M-Z	200	added ('OK')	text/html	etag:%22392d878573b5b6abc29b136d2a301d1f%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/01-static-checking/	ocw.mit.edu/ans7870/6/6.005/s16/classes/01-static-checking/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:55	45896/45896	---M-Z	200	added ('OK')	text/html	etag:%22038fa19aeb43c592a54fced599a43428%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/03-testing/	ocw.mit.edu/ans7870/6/6.005/s16/classes/03-testing/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:56	13591/13591	---M-Z	200	added ('OK')	text/html	etag:%22e23961e8ee2099dcc6420282a1777a0c%22	https://ocw.mit.edu/ans7870/6/6.005/s16/general/collaboration.html	ocw.mit.edu/ans7870/6/6.005/s16/general/collaboration.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:56	45046/45046	---M-Z	200	added ('OK')	text/html	etag:%2229b40fe07b9cff9254844cf92cdbedbb%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/02-basic-java/	ocw.mit.edu/ans7870/6/6.005/s16/classes/02-basic-java/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:56	37120/37120	---M-Z	200	added ('OK')	text/html	etag:%22da4be927a89219bba97c6c332d9c9786%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/04-code-review/	ocw.mit.edu/ans7870/6/6.005/s16/classes/04-code-review/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:56	69408/69408	---M-Z	200	added ('OK')	text/html	etag:%229daa8477787c82fd0c1cfbf147cb7fb0%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/05-version-control/	ocw.mit.edu/ans7870/6/6.005/s16/classes/05-version-control/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:58	19269/19269	---M-Z	200	added ('OK')	text/x-c++	etag:%224f02ffdda91e6aba7a3323f68afa39f0%22	https://ocw.mit.edu/ans7870/6/6.005/s16/general/code-review.html	ocw.mit.edu/ans7870/6/6.005/s16/general/code-review.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:58	42508/42508	---M-Z	200	added ('OK')	text/html	etag:%2297655d3a76c8ca974eddfd0c929bf7e5%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/07-designing-specs/	ocw.mit.edu/ans7870/6/6.005/s16/classes/07-designing-specs/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:58	5965/5965	---M-Z	200	added ('OK')	text/html	etag:%228d1e4ceca762b832703e0f178994fd81%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/06-specifications/	ocw.mit.edu/ans7870/6/6.005/s16/classes/06-specifications/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:59	32843/32843	---M-Z	200	added ('OK')	text/html	etag:%22451b3c804d41d08120520642665e6525%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/08-avoiding-debugging/	ocw.mit.edu/ans7870/6/6.005/s16/classes/08-avoiding-debugging/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:34:59	5232/5232	---M-Z	200	added ('OK')	text/html	etag:%222fef6a4c26616b1f7aeed54e9fbc1b62%22	https://ocw.mit.edu/ans7870/6/6.005/s16/general/nanoquiz-grading.html	ocw.mit.edu/ans7870/6/6.005/s16/general/nanoquiz-grading.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:00	49992/49992	---M-Z	200	added ('OK')	text/html	etag:%22a44649ac3872adc11e3b08ab8b471fae%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/12-abstract-data-types/	ocw.mit.edu/ans7870/6/6.005/s16/classes/12-abstract-data-types/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:00	19520/19520	---M-Z	200	added ('OK')	text/html	etag:%223af89d7d2d1c71d855681ab8414499bb%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/11-debugging/	ocw.mit.edu/ans7870/6/6.005/s16/classes/11-debugging/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:00	45831/45831	---M-Z	200	added ('OK')	text/html	etag:%224d6ce810dc4448003a39b03d4524033a%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/10-recursion/	ocw.mit.edu/ans7870/6/6.005/s16/classes/10-recursion/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:01	61767/61767	---M-Z	200	added ('OK')	text/html	etag:%22df2408c27873fc41adca7bc17f0533ed%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/09-immutability/	ocw.mit.edu/ans7870/6/6.005/s16/classes/09-immutability/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:02	6642/6642	---M-Z	200	added ('OK')	text/html	etag:%2250142e2f319791ba1d4050809de09ba4%22	https://ocw.mit.edu/ans7870/6/6.005/s16/getting-started/java.html	ocw.mit.edu/ans7870/6/6.005/s16/getting-started/java.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:02	55579/55579	---M-Z	200	added ('OK')	text/html	etag:%22bf7fd85014bc7fc6924aff01503c8ef2%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/15-equality/	ocw.mit.edu/ans7870/6/6.005/s16/classes/15-equality/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:03	47482/47482	---M-Z	200	added ('OK')	text/html	etag:%22f34c234c08d3f9cb2155809d46c21332%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/14-interfaces/	ocw.mit.edu/ans7870/6/6.005/s16/classes/14-interfaces/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:03	54062/54062	---M-Z	200	added ('OK')	text/html	etag:%2295d74f01be226d0e9e0fc012cf691915%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/13-abstraction-functions-rep-invariants/	ocw.mit.edu/ans7870/6/6.005/s16/classes/13-abstraction-functions-rep-invariants/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:04	6768/6768	---M-Z	200	added ('OK')	text/html	etag:%224475a5a14b350dca02e12938916d636d%22	https://ocw.mit.edu/ans7870/6/6.005/s16/getting-started/eclipse.html	ocw.mit.edu/ans7870/6/6.005/s16/getting-started/eclipse.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:04	5044/5044	---M-Z	200	added ('OK')	text/html	etag:%22bae0f26af16fd5abf9b7739700862922%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/16-recursive-data-types/	ocw.mit.edu/ans7870/6/6.005/s16/classes/16-recursive-data-types/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:05	37858/37858	---M-Z	200	added ('OK')	text/html	etag:%220bc15c44d100261a8511d1025b891cea%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/19-concurrency/	ocw.mit.edu/ans7870/6/6.005/s16/classes/19-concurrency/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:05	42590/42590	---M-Z	200	added ('OK')	text/html	etag:%22fedd471be73b743f4c3ea524090a1f3a%22	https://ocw.mit.edu/ans7870/6/6.005/s16/classes/18-parser-generators/	ocw.mit.edu/ans7870/6/6.005/s16/classes/18-parser-generators/index.html	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
18:35:05	10738/10738	---M-Z	200	added ('OK')	application/javascript	etag:%228dd7bf26cc99c48567317fcdf7b545c8%22	https://ocw.mit.edu/ans7870/6/6.005/s16/web/handout-run.js	ocw.mit.edu/ans7870/6/6.005/s16/web/handout-run.js	(from https://ocw.mit.edu/ans7870/6/6.005/s16/)
